Entity,Food origin,GHG emissions per kg,Land use per kg,Freshwater withdrawals per kg,Scarcity-weighted water use per kg,Eutrophying emissions per kg
Apples,Plant,0.43,0.63,180.1,12948.6,1.45
Bananas,Plant,0.86,1.93,114.5,661.9,3.29
Barley,Plant,1.18,1.11,17.1,696.4,2.33
Beef (beef herd),Animal,99.48,326.21,1451.2,34732.5,301.41
Beef (dairy herd),Animal,33.3,43.24,2714.3,119805.2,365.29
Beet Sugar,Plant,1.81,1.83,217.7,9493.3,5.41
Berries & Grapes,Plant,1.53,2.41,419.6,21162.1,6.12
Brassicas,Plant,0.51,0.55,119.4,8455.1,5.01
Cane Sugar,Plant,3.2,2.04,620.1,16438.6,16.92
Cassava,Plant,1.32,1.81,0,0,0.69
Cheese,Animal,23.88,87.79,5605.2,180850.6,98.37
Citrus Fruit,Plant,0.39,0.86,82.7,4662.7,2.24
Coffee,Plant,28.53,21.62,25.9,337,110.52
Dark Chocolate,Plant,46.65,68.96,540.6,2879.2,87.08
Eggs,Animal,4.67,6.27,577.7,17982.7,21.76
Fish (farmed),Animal,13.63,8.41,3691.3,41572.2,235.12
Groundnuts,Plant,3.23,9.11,1852.3,61797.9,14.14
Lamb & Mutton,Animal,39.72,369.81,1802.8,141925,97.13
Maize,Plant,1.7,2.94,215.7,10863.3,4.03
Milk,Animal,3.15,8.95,628.2,19786.3,10.65
Nuts,Plant,0.43,12.96,4133.8,229889.8,19.15
Oatmeal,Plant,2.48,7.6,482.4,18786.2,11.23
Onions & Leeks,Plant,0.5,0.39,14.3,932,3.24
Other Fruit,Plant,1.05,0.89,153.5,9533.1,2.43
Other Pulses,Plant,1.79,15.57,435.7,22477.4,17.08
Other Vegetables,Plant,0.53,0.38,102.5,4911.4,2.27
Peas,Plant,0.98,7.46,396.6,27948.2,7.52
Pig Meat,Animal,12.31,17.36,1795.8,66867.4,76.38
Potatoes,Plant,0.46,0.88,59.1,2754.2,3.48
Poultry Meat,Animal,9.87,12.22,660,14177.9,48.7
Prawns (farmed),Animal,26.87,2.97,3515.4,127259,227.22
Rice,Plant,4.45,2.8,2248.4,49576.3,35.07
Root Vegetables,Plant,0.43,0.33,28.4,929.2,1.61
Soy milk,Plant,0.98,0.66,27.8,955.6,1.06
Tofu,Plant,3.16,3.52,148.6,5113.2,6.16
Tomatoes,Plant,2.09,0.8,369.8,5335.7,7.51
Wheat & Rye,Plant,1.57,3.85,647.5,33385.6,7.16
Wine,Plant,1.79,1.78,78.9,1149.3,4.57